Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type
"C1, C2",2,4.7u,RC_0603,,,,smt
"C3, C6",2,1u,RC_0603,,,,smt
"C4, C7",2,10u,RC_0603,,,,smt
"C5, C8",2,100n,RC_0603,,,,smt
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D7, D8, D9",60,1N4148W,D_SOD-123_Back,,,,smt
J1,1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,,,smt
J2,1,Battery JST-PH,JST_PH_S2B_2pin,,,,tht
LED1,1,CHG,LED_0603,,,,smt
Q1,1,DMG3415U,SOT-23,,,,smt
"R1, R2",2,5.1k,RC_0603,,,,smt
R3,1,2.0k,RC_0603,,,,smt
R4,1,1k,RC_0603,,,,smt
R5,1,100k,RC_0603,,,,smt
"R6, R7",2,1M,RC_0603,,,,smt
R8,1,10k,RC_0603,,,,smt
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW7, SW8, SW9",59,KS-33,SW_Gateron_KS33_HS,,,,smt
SW60,1,RESET,SW_PUSH_6mm_THT,,,,tht
SW61,1,BOOT,SW_PUSH_6mm_THT,,,,tht
SW62,1,PWR MSK-12C02,SW_Slide_MSK12C02,,,,smt
U1,1,ESP32-C6-MINI-1,ESP32-C6-MINI-1,,,,smt
U2,1,MCP73831,SOT-23-5,,,,smt
U3,1,AP2112K-3.3,SOT-23-5,,,,smt
U4,1,USBLC6-2SC6,SOT-23-6,,,,smt
